Country Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Central African Republic,0.078543428,0.128537117,0.151563338,0.223401395,0.268195609,0.311159173,0.375815961,1,1.8,2,2.2,3,3.4,3.6,3.8,4,4.339254945,NA
Central Europe and the Baltics,10.2388299968777,18.2554759298689,22.593121099384,29.2463406861194,34.7508894916645,40.8006088189678,45.2841740271644,50.6865288171856,55.0986207601394,58.5913129651185,59.1103467325323,61.7163415104824,63.463990446104,66.483392613176,67.3494691319343,71.3419807922689,73.4095661289698,75.8878013195563
Chad,0.045934134,0.166069665,0.320308555,0.360920107,0.3992577,0.581045764,0.847224521,1.19,1.5,1.7,1.9,2.1,2.5,2.9,3.5,5,6.49999812,NA
Chile,19.1,22.1,25.47377889,28.17791012,31.17534703,34.49775117,35.9,37.3,41.56,45,52.24960729,55.05,58,61.11,76.63,83.55858602,82.32748693,NA
China,2.639650215,4.595704331,6.2,7.3,8.523257003,10.52315262,16,22.6,28.9,34.3,38.3,42.30011749,45.8,47.9,50.3,53.2,54.3,NA
Colombia,2.854199971,4.6,7.388923711,9.118690303,11.00726389,15.34167454,21.8,25.6,30,36.5,40.35091575,48.98,51.7,52.57,55.90497251,58.13649357,62.25988032,NA
Comoros,0.443068373,0.554869675,0.84818937,1.327327178,2,2.2,2.5,3,3.5,5.1,5.5,5.975296308,6.5,6.98,7.459161386,7.938322771,8.478170295,NA
Congo, Dem. Rep.,0.011475782,0.092790702,0.134914837,0.196208375,0.238037799,0.29605361,0.37,0.44,0.56,0.72,1.2,1.679961015,2.2,3,3.799999507,6.20997406,8.619904916,NA
Congo, Rep.,0.032223616,0.157249517,0.460014187,1.07750493,1.46342006,2.007990079,2.759704374,4.287509903,4.5,5,5.6,6.106695024,6.6,7.11,7.615974662,8.121949323,8.65,NA
Costa Rica,9.559482135,19.89485113,20.33361481,20.79230671,22.07,25.1,28.4,32.29,34.33,36.5,39.212196,47.5,45.96,53,59.76295014,65.88044919,71.3907709,74.08680223
Cote d'Ivoire,0.395747702,0.497929361,0.758669629,0.849282415,1.039238205,1.524900791,1.8,1.9,2,2.7,2.9,5,12,19.2742298,38.44,41.20781493,43.83992085,46.82372708
Croatia,11.55857318,17.76,22.75,30.91,33.14,37.98,41.44,44.24,50.58,56.55,57.78997899,61.93997315,66.7476,68.57,69.8031,72.69726967,67.09619204,72.68877088
Cuba,1.079751722,3.770585038,5.241269054,8.407984759,9.738062208,11.15960131,11.69,12.94,14.33,15.9,16.0172908,21.2,27.93,29.07018437,37.30509742,42.97867519,57.14840432,NA
Cyprus,18.81875904,28.32,30.09,33.83,32.81,35.83,40.77,42.31,49.81,52.99,56.85989235,60.6898684,65.4548,69.33,71.7159,75.9002054,80.74318897,84.43358252
Czech Republic,14.69717212,23.93,34.3,35.5,35.27,47.93,51.93,62.97,64.43,68.82,70.49,73.43000782,74.1104,74.23171164,75.6688387,76.4811987,78.71916143,80.68816754
Denmark,42.95752472,64.25,76.26,80.93,82.74,86.65,85.03,85.02,86.84,88.72,89.81001339,92.26001172,94.6297,95.99,96.3305,96.96778525,97.09936216,97.64426813
Djibouti,0.343526263,0.486971705,0.625940229,0.781317175,0.953611449,1.270041159,1.62,2.26,4,6.5,7,8.267232892,9.5,10.71,11.92243143,13.13491511,55.68140925,NA
Dominica,13.24522804,18.42489277,23.62041985,30.31961309,38.54364326,39.3981743,40.27446301,41.16,42.02,47.45,48.6,49.8,51,57.5,65,67.03,69.61966879,NA
Dominican Republic,4.429390697,6.823725733,7.898392937,8.865553461,11.48319778,14.84492837,17.66,20.82,27.72,31.4,38,42.32,45.9,49.58,54.21576634,63.87086474,67.57123468,74.82428986
Early-demographic dividend,1.68205502198015,2.82828584755921,3.39543202868693,4.20164812374342,4.87393456483857,5.75267095432633,7.31451993399859,8.47397596468774,9.66419684431853,12.7928570244362,15.4256703431444,18.0765076283703,20.9099361376341,25.4490759552748,25.7726539302834,30.1667498501377,38.0290615573552,NA
East Asia & Pacific,7.27835490444649,9.03018298411244,10.5833990437142,12.6339668763941,14.6865023197775,16.6375335685497,20.7904574744464,25.2855108798676,29.5506961195955,34.2705539668784,37.4023237117011,40.743754029271,44.6092050654212,46.838477159998,48.9987474828847,53.1874208856639,55.0732656812636,NA
East Asia & Pacific (excluding high income),2.77799334405049,4.40510188793623,5.76259077118514,6.88291617865968,8.31300609300024,10.1680244802091,14.3849555089716,19.2725284794523,23.7890210408462,28.9798350006277,32.4044588546775,36.0824061806959,39.7164193738599,42.0618027503691,44.2904169011263,48.7288078320717,51.1687446618058,NA
East Asia & Pacific (IDA & IBRD),2.81298348140194,4.46074903483536,5.83550071307671,6.97001660002841,8.41782314285455,10.2960422805517,14.5654376913843,19.5137088127357,24.0859015493009,29.3405130466642,32.806699904442,36.529159469127,39.7164193738599,42.0618027503692,44.2904169011263,48.7288078320718,51.1687446618058,NA
Ecuador,2.670443674,4.260796915,4.460228345,4.834442638,5.994255161,7.2,10.8,18.8,24.6,29.03,31.36680836,35.13514645,40.27912194,45.59039067,48.94043379,54.06292473,57.27224368,NA
Egypt, Arab Rep.,0.838945611,2.719999715,4.037885107,11.92,12.75,13.66,16.03,18.01,20,21.6,25.6,26.4,29.4,33.89460391,37.81938343,41.24806709,44.95020425,46.92433809
El Salvador,1.5,1.9,2.5,3.2,4.2,5.5,6.11,10.08,12.11,15.9,18.9,20.32138772,23.1093,24.76171215,26.80260496,28.99707305,33.8207289,NA
Equatorial Guinea,0.165260423,0.321197997,0.520524272,0.843930285,1.149789671,1.279193596,1.557123059,1.82,2.13,6,11.5,13.94318219,16.4,18.86,21.31999999,23.77999997,26.23999996,NA
Eritrea,0.157815289,0.227090138,NA,NA,NA,NA,0.41,0.47,0.54,0.61,0.7,0.8,0.9,0.99,1.083733116,1.17711872,1.30890698,NA
Estonia,31.52748977,41.52,45.32,53.2,61.45,63.51,66.19,70.58,72.5,74.1,76.5,78.38992593,80.0043,84.24152803,88.4097035,87.24023275,88.10245687,89.35700777
Eswatini,1.28159005,1.816203807,2.437073851,3.228685073,3.696961073,3.696538789,4.1,6.85,8.94,11.04,18.13,20.78178258,24.7,26.17500573,25.64304231,28.57352278,47,NA
Ethiopia,0.037162381,0.072402262,0.105811659,0.155334521,0.219659819,0.310592657,0.37,0.45,0.54,0.75,1.1,2.9,4.6,7.7,13.85517556,15.36692386,18.61805145,NA
Euro area,27.3077599555433,35.0832824920282,42.0090697589589,47.3733912210337,51.1540400973963,54.8404585401203,61.31208094632,64.7962518469251,67.1057686897967,71.0275515545602,72.01410263684,74.1190070180627,75.8502877943212,77.0890936107407,77.4725358829579,77.989454930592,79.6608735640263,83.784265791303
