Country Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Azerbaijan,4082.68232953037,4504.9764853301,5018.89005623622,5581.87125764378,7290.22995292263,9989.20647283044,12724.3483373841,14047.6601947982,15162.8877985698,15884.0447882908,15754.1523626148,16193.3956654,17216.1785348611,17808.9018991483,17973.0906671734,17417.0866945965,17525.2796310039,18044.1367837983
Bahamas, The,27102.4547934335,27812.3591441384,27482.0559133327,27956.3822863408,29258.7016152378,30326.4527288646,30996.428799745,30299.925482837,28760.5128586491,29099.0572097207,29503.7080684624,30656.1339457737,29977.7397698355,30482.1981102924,30696.3383891008,30863.2669254018,31155.1447519368,32087.7291547443
Bahrain,35689.4830603562,35551.5897386025,36338.5841612794,37461.9329888351,38492.0941855358,39170.685119132,40300.1797819493,40565.7798265568,39422.3421012556,39740.617935131,40168.3278932788,41753.1013827456,44273.4218466164,46331.9824180705,46911.9622733638,47215.7861780145,47660.7173057748,47303.0485062895
Bangladesh,1419.13778161562,1469.84576124734,1541.18592296435,1638.91616497517,1773.888587831,1923.41757295333,2088.72093530987,2231.68946441646,2335.91871656494,2466.90294873953,2650.72993332452,2844.70256474475,3033.40463209227,3240.88562338726,3451.398506706,3696.77619313802,3998.41942353744,4371.75498582046
Barbados,12659.7748307365,12917.4343137323,13399.2576695504,13905.8207566574,14850.1027872955,16099.4946964341,16765.324423418,17170.5908539541,16392.9574158381,16164.9811646958,16321.9834236748,16582.1300926302,16607.1823576019,16861.3465134409,17386.9395860396,17947.9633416955,18229.5876811293,18554.1292823844
Belarus,6483.76108187312,6962.79822751493,7644.92770592046,8809.52694481277,10005.9372508239,11409.2555972678,12781.8090928852,14409.2218838145,14580.5808004276,15927.8747037149,17166.6956434719,17807.4177409892,18298.8470648279,18949.88243997,18389.7437502613,18098.4228594571,18915.9398913696,19994.8040788005
Belgium,28800.1297092813,30282.2886450283,30898.6074431985,32033.8709623041,33177.8909458158,35222.6051497546,36755.6563289744,37883.3319417819,37757.2820887917,39836.8977087435,40942.372710454,42290.7620520019,43671.11959259,44929.685593416,46213.2665340101,47855.4902282394,50220.8666703868,51407.9983373414
Belize,5658.08868882986,5873.41137636632,6369.45747684755,6669.72180666449,6873.41576888478,7214.46735500458,7297.39843287217,7484.37002343558,7403.04414588561,7555.20430832874,7694.35511087352,7886.90193394527,7913.06167207252,8179.4564402616,8371.37437567136,8242.62959224905,8352.94434641064,8648.08879957291
Benin,1384.89728189542,1428.01789684328,1459.58466158446,1518.93258990056,1546.70844059023,1609.10467378397,1701.97113642588,1769.25243460662,1773.7297707933,1781.56331733904,1820.8893040888,1891.53038798207,2006.32788136073,2114.48031526921,2122.23559175409,2169.7558068286,2276.59572977231,2424.75584480555
Bermuda,44112.3269882128,43861.5704093954,45898.5811993621,47914.3737825122,49909.8809096849,53960.5565948174,56666.4415724346,58305.3793049938,55337.676032766,55241.0749004741,54984.5103947777,53137.2150704497,52547.3330901036,NA,NA,NA,NA,NA
Bhutan,2957.9173969623,3260.19236627659,3507.93456765063,3749.24143087617,4078.03595423053,4430.0068945578,5304.21831484542,5608.40756708611,5967.75080809652,6674.86281960045,7269.3431327835,7692.58153674325,7897.85449408846,8405.26969561251,8949.83705916897,9656.33926197415,10173.0510685433,10534.855703373
Bolivia,3546.11606277535,3623.09176962976,3721.05593916975,3909.06503911155,4134.61651256788,4386.56545489537,4629.68279755727,4925.91966975409,5045.33127267656,5228.11532909934,5524.71779777384,5825.13998451116,6231.29634495361,6593.23298218238,6882.48891602382,7147.83920980984,7480.07714054929,7873.16624301
Bosnia and Herzegovina,4751.11736117519,5136.52031267024,5373.14265907237,6200.62071114799,6479.66019242022,7406.34744829583,8188.58984099064,9028.86538080467,9030.46433192636,9347.58351722124,9976.47966210109,10304.0164615688,11016.5828511677,11433.1605263408,12013.9824977044,12824.0361342552,13735.0785041602,14623.6740532923
Botswana,8574.34376615296,9076.228393192,9506.49246622704,9849.79699514849,10421.3719283972,11401.3475984607,12409.2978745779,13158.8487123216,12007.2323898214,12964.3514434006,13838.6028216807,14558.0664085668,16310.1028851638,17092.1222420118,16724.5177802108,17314.7744445225,17784.8490351371,18615.7933362283
Brasil,9274.24759046068,9581.99283648923,9747.94103843123,10460.5506264868,11004.9561815779,11659.3927756977,12568.1979009379,13332.1438610193,13288.4354795748,14320.3686885704,15061.9531879979,15506.5542639022,16111.4426821237,16358.3907656928,15813.8554371321,15331.5485228462,15662.2404720854,16096.4009621464
British Virgin Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brunei Darussalam,67184.354498275,69510.208531973,71514.3937218396,72549.2249587857,73930.4777031625,78411.6145987688,79631.1923638581,78670.5579459646,76961.8121967828,78907.8712156128,82502.9352973488,83725.4210254706,82263.498305978,80782.0314973982,80177.7561183152,78134.6665206263,79789.487859267,80920.0486841005
Bulgaria,6908.95605518324,7726.40097711078,8343.13885383018,9122.84955375309,10211.2798788526,11313.5508143539,12800.8166750994,14328.9898581008,14146.1068964246,14934.132741045,15676.1333354642,16208.2204291165,16571.028761691,17534.3032559292,18186.4872278588,19500.3294529732,20948.1942754245,21960.3699424605
Burkina Faso,906.07279057734,933.240365678649,995.464240876684,1037.23164396538,1128.29564793919,1198.7569255114,1261.98290234091,1339.24552299035,1348.00597328322,1394.25310031292,1472.71584137964,1550.63068365519,1620.20536870048,1672.02343716292,1704.85964271179,1772.8482792833,1866.51473323224,1984.8843059546
Burundi,582.467816905575,601.529755781346,587.242509946611,612.474437828619,617.061944452052,648.748987058022,666.875594936883,689.748643283268,698.173553305929,718.714469126073,739.219254973908,762.42247952376,788.893782667002,812.030043569286,764.195763294656,743.903597582874,737.978582864667,744.182072008071
Cabo Verde,3183.81940239175,3348.34960902125,3497.85319290202,3900.3359858205,4240.26508635846,4655.64532988542,5437.70991145294,5841.05876747843,5741.21820655033,5821.73980458961,6102.41216353509,6207.36142352013,6285.96982323493,6362.9604012073,6415.61246182805,6709.10991574177,7005.95868392523,7454.06391681042
Cambodia,1185.43325223969,1259.81370531937,1368.70089263429,1525.92872403812,1754.17113655131,1971.56304190576,2198.29217452997,2355.90362441774,2340.55856673089,2470.70415543532,2658.06255249593,2860.14673412939,3073.31814301847,3300.61675016579,3513.82355955613,3742.95879263803,4019.67998509631,4360.85440445566
Cameroon,2119.05892744127,2184.98245230143,2265.80585347753,2418.58814027564,2476.29931163929,2568.44247788244,2691.89728959388,2762.94201803182,2767.97483613519,2817.57272220138,2914.2376674035,3021.40920045727,3153.68235756659,3311.73400510519,3442.73447977112,3546.54456015868,3644.80109611048,3785.07997826904
Canada,30107.6569414056,30853.201316329,32225.0521212425,33796.9991962311,36211.0845984165,37999.0385951977,39439.8068856578,40275.9898957504,38797.3850494638,40012.3913979895,41569.449617197,42189.1961096712,44188.7317079989,45645.5642968788,44567.8663498079,45011.6431674509,46723.3177643637,48130.2559725043
Caribbean small states,9486.90314736569,9949.76575980767,10737.2192646238,11432.0774734972,12151.1679017018,13352.9144058204,14092.3735460333,14501.9837546245,14001.5325683654,14273.0047040968,14623.8580938131,14979.8511780314,15311.6449687579,15560.6184347502,15811.3535217287,15549.4158264785,15701.5975856631,16187.1118583243
Cayman Islands,61515.841019774,61566.9210669242,62207.3522726744,62748.131442366,67007.3467583863,70105.8999149482,72078.2533523643,71101.4710019968,64698.9904342842,62158.6030446546,62861.1807436011,63666.6114959326,64546.386054775,66497.0115338172,68131.324572506,70049.9818450345,72607.570767153,NA
Central African Republic,706.69817990405,728.166256455562,687.364904816057,733.317734648513,748.194265801191,791.985623772376,834.531689380773,852.929806208589,919.40855892341,962.291972162761,1016.21855192248,1083.68992544961,699.592880706766,710.812164523031,744.734542572878,780.905532608877,821.216202890807,859.935619639664
Central Europe and the Baltics,10782.2574380725,11606.6743469273,12301.6628627237,13445.6513850085,14282.3970282304,15878.1351114864,17719.1848942641,19650.1993033887,19672.2106655228,20739.746090563,22154.2490947982,22970.4487352574,23970.2077654041,24983.494741777,26080.2356203421,27360.0680507256,29651.1895116823,31214.2090199216
Chad,866.953457343894,919.302989978201,1033.57966762505,1365.77415387845,1593.19132483486,1595.09379921432,1635.09670591249,1661.63662222758,1688.08228231542,1875.55726136654,1852.93815588829,1988.06482318793,2067.79646737731,2179.24774129838,2191.74179537842,2012.81731594095,1929.47275158156,1968.25826164116
Channel Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chile,9972.65102673782,10333.0636258187,10841.3238883432,11812.6350110434,12746.5833879323,15753.962990375,16941.8359830089,16501.8069214628,16159.6052340491,18161.8039224929,20342.5709204911,21507.7074027908,22439.2783559667,22786.6556024043,22688.010028123,22874.1494182583,24248.8607595516,25222.5277771449
China,3227.41943802326,3553.92379293948,3958.47197677039,4449.56191947187,5081.04904061954,5867.79687712994,6847.06962339115,7615.0295331201,8352.68993341009,9303.73369967246,10355.4957126354,11328.2817147499,12361.3979713938,13446.402394169,14454.9979690663,15513.2730433452,16782.2077582941,18236.6129816498
Colombia,6848.27854137436,7022.7396005875,7324.4008525759,7811.23008565862,8320.56929900869,9036.31424895926,9792.90295192225,10188.017061689,10274.4898568509,10732.7490513357,11650.1994926942,12226.2858371891,12891.3793105119,13618.1243607146,14006.153584302,14259.6093024949,14507.2612508036,15012.9302675399
Comoros,1939.27654926211,1967.64432031322,1998.16846311507,2042.26982624609,2114.65706848865,2183.49041378046,2206.55932912413,2283.89691313119,2318.43019553487,2376.53888567251,2465.32491834502,2531.03797668248,2627.34390037724,2668.89523057549,2664.2708772218,2719.2961739134,2812.03474675244,2913.38730578137
Congo, Dem. Rep.,443.574712092771,450.450417093416,469.770409824046,498.979870320802,528.974783764476,555.799957977683,586.995265353701,615.071974515878,616.658619395198,646.295395285628,682.007331980312,719.91425898658,768.644915678626,829.362645553059,867.08835736811,868.613356219055,888.677279967463,932.172006786861
Congo, Rep.,3790.96904008224,3914.89949027438,3906.12517693831,4028.31219598344,4337.19422774068,4591.99556092481,4483.92664714536,4663.01186224752,4886.38366883909,5214.50278197082,5353.80429630661,5518.96742183099,5667.59579899924,6017.67194682369,6089.83965522291,5833.99564357271,5614.39897394646,5662.06341112502
Costa Rica,8089.57938926755,8349.67112514342,8732.2289459762,9220.88915413131,9737.08881300218,10609.5068794537,11625.9304857052,12240.5790666493,12058.5238213325,12644.6966535469,13302.9282818352,14041.9937752817,14445.898359738,15067.3111823336,15610.8795501536,16278.6019026024,16976.1874153072,17671.0953526733
Cote d'Ivoire,2376.20723718085,2321.40190632648,2283.58800601389,2324.95811567934,2387.62182524642,2443.8515994764,2498.33589435967,2553.8380410139,2596.89747660708,2618.31891978017,2495.49512456671,2747.90052339133,2970.20233830059,3211.09974493211,3444.44979975855,3665.55048578514,3921.7133363444,4207.08693435064
Croatia,11613.4839342,12647.6391339883,13550.1729691309,14534.4522355604,15303.8626234987,17431.3047095463,19354.9821889334,20776.4481468631,19998.6846884633,19761.4849126156,20743.5063798886,21136.4032954146,21769.2799583314,22062.0257043498,23013.6220508491,24511.8948549293,26351.9070402821,27579.7808327382
Cuba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Curacao,24497.7019353271,24953.4559415444,24969.8631515843,25256.1041259458,25558.8273132702,26084.5128412949,26910.0810174674,27683.2568776301,27566.0128007531,27559.1970471534,27907.8660198663,28168.8301764407,28115.0057981999,27941.568194937,27947.8216672263,27679.645029596,27626.6409480366,27743.0700522301
Cyprus,22871.3836699875,23556.4139278627,24252.8976002779,25921.2044367465,27763.177389335,29984.1850612746,32849.9410426219,34824.0829909209,33888.2852261088,33230.7989411299,33192.336901327,31914.6834217479,30620.8621496663,30390.6080662609,31578.3544277306,33682.4790814849,36155.4807539388,NA
Czech Republic,17554.4877246829,18189.2343541554,19426.0851264696,20799.157638979,21956.3838583853,23776.4870553843,26124.8954490421,27844.7953264656,27599.3008601602,27667.4328953053,28797.4179611691,29047.2464395949,30485.7141541113,32263.3157548997,33691.4242392608,35230.5224608776,38019.5805142033,39743.5970941416
Denmark,29449.6194019362,30640.3456230968,30786.2489548486,32908.6807918313,34150.1594558945,37295.6593508184,38968.5153979593,41278.3268270571,40339.6771281296,42999.616135066,44403.3848413929,44803.9682421214,46726.8541437832,47901.4473627066,49058.5010658416,50877.4472936396,54282.5477398365,55671.1652650668
Djibouti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dominica,6687.47949686741,6584.45075700507,7106.07426303843,7489.87533432406,7751.06609555864,8342.4148787227,9100.90183551733,9934.09325405675,9889.38410348229,10068.0688003805,10249.8954096293,10328.7304052329,10397.4417506091,11054.6314507234,10857.2017715934,11236.9524280375,10649.4192927032,11129.8611927628
Dominican Republic,6803.99879366689,7117.69738479401,7051.02351745837,7324.22826691204,8152.85962190857,9049.39913010968,9853.1717179896,10236.5448359514,10283.1614743855,11132.9376434513,11580.5687761449,11979.702264559,12634.964570894,13623.1182071266,14555.7411939284,15519.6168168975,16370.9561756104,17748.1853186175
Early-demographic dividend,4215.15530751884,4295.20669311923,4533.23324120042,4886.2717069347,5262.13574236853,5697.90428317459,6121.35667392254,6406.50914496077,6511.81591257012,6921.80781622074,7322.50374510573,7673.02465378755,8042.99663746028,8465.50015696255,8859.24765685651,9311.27207162969,9832.88596036442,10371.9336381714
East Asia & Pacific,6013.60601463654,6385.8514568548,6801.52602414533,7382.31736655193,8033.16562116788,8820.13343055143,9753.8493685064,10380.9491593174,10782.69078864,11705.4199329048,12595.7798964688,13472.3964777027,14411.2302134605,15283.3856464232,16136.0764680586,17011.7243722232,18108.2014260298,19329.7758996229
East Asia & Pacific (excluding high income),3552.64922421035,3851.21026508199,4221.38903523779,4676.25712453493,5235.22577896525,5911.19153680442,6734.51211234241,7375.89498803337,7925.71023459307,8725.22483907033,9574.18405365004,10408.3337749829,11260.5917277194,12147.6562885486,12973.8138946555,13841.6710856248,14901.096193573,16113.5406974031
East Asia & Pacific (IDA & IBRD),3591.33592113435,3893.14816700462,4267.36065335825,4727.17609629284,5292.17188799442,5975.36607493661,6807.44920693004,7455.54349146386,8011.03864365263,8818.90191225526,9676.71589022237,10519.5138907094,11380.5652781136,12276.7456954572,13111.330148988,13987.9582082168,15058.0949334592,16282.9374331991
Ecuador,6110.4588461315,6348.92491342029,6530.51721419353,7135.98585253973,7619.0339457554,8059.13130374973,8316.56816658788,8868.93759137135,8841.98438920763,9114.33832830641,9883.58002854238,10483.1341313445,11028.4290437324,11484.1716060503,11431.9915842066,11222.078486215,11501.0102924017,11734.3873890471
Egypt, Arab Rep.,6199.41007091347,6327.81079795379,6528.67532667129,6852.14983040786,7249.45256642838,7839.84225682112,8471.3434867587,9091.00066480062,9411.30496880418,9814.29845487948,9982.84570166468,10172.9830562616,10340.5421440703,10601.1666900382,10938.8618617073,11294.2492422293,11742.0500879694,12412.3094005832
El Salvador,4573.70642645381,4691.69114330189,4827.61351731559,4977.06713932403,5246.37955066824,5614.5814900085,5847.27216403044,6088.37782069825,5981.52653144745,6152.3947446649,6492.63255034466,6773.62243512675,7014.69214196257,7236.11736171435,7453.42973228063,7686.14393726902,7972.78289536147,8331.80414200319
Equatorial Guinea,13945.6360017588,16236.600978313,18069.8993277537,24525.8652414284,28241.9280723291,29941.8589733777,33840.5510026199,38790.9039784876,37820.9548140404,33294.6534965385,34622.1162657965,36576.0904309039,34180.7115318707,33542.7650820436,29592.379672326,26232.1337762133,24532.9520018941,22743.8244342202
Eritrea,2121.70203918172,2124.88834599184,2009.73975002053,2002.32794235263,2037.79285459683,2013.88919550739,2042.66479508839,1838.04301642641,1888.6151795324,1921.43478978428,2102.95405980347,NA,NA,NA,NA,NA,NA,NA
Estonia,10326.179421977,11670.3652656957,13122.8391600943,14521.297790749,16624.9120413037,19313.2642372794,22170.2522577934,22830.0903163589,20597.9334728765,21796.6100997635,24780.9787761938,26190.5529510261,27642.5853670431,29135.7043979166,29397.1298449963,30913.2051238477,33675.4577075001,35973.7764604798
Eswatini,5025.16816427693,5299.74750762016,5587.10792054286,5925.2642971962,6449.37007039588,7005.21933560337,7465.18762579611,7619.6304786302,7742.41072484746,8073.51173066176,8370.81909722899,8930.86256183463,9373.00302828003,9565.5315823751,9810.545674666,9953.99547724318,10249.5116915508,10637.8417276438
Ethiopia,531.53379385437,532.626621805948,515.873303337688,584.896866866195,655.786698721255,728.390515986983,811.064277431763,891.276432732849,950.554329358578,1052.60667249851,1161.58143397688,1250.35122224316,1367.71414426889,1494.11205196438,1621.70672639925,1746.16276984628,1897.2490774949,2022.13796136605
Euro area,26505.960329621,27535.032625592,27952.9652595674,29051.4149468615,30076.708583911,32500.3338667029,34385.2126318526,35709.6314321742,34794.9443502844,35768.8432855554,37435.6703464808,37801.9210021728,38981.9561214963,39949.4520203638,41053.3333202391,42711.5374173216,45090.4610058817,46207.3235069981
Europe & Central Asia,16690.3031640692,17490.9783800214,18141.6325192583,19261.6756435504,20307.4247963124,22474.1713019743,24083.2156087543,25738.7857252695,25026.9310329729,26070.6907463,27865.1447034824,28589.4783014284,29595.8326935419,30357.720385648,30851.997990208,31768.4813572155,33620.432377564,34702.5547227272
Europe & Central Asia (excluding high income),6483.96318741094,6950.68215291904,7663.16960036136,8588.99245867295,9658.49377771893,11553.8591125434,12895.1096468667,14815.2573606754,14330.0668694296,15296.9439039479,17372.4052827111,18296.2842300391,19017.0427037121,19482.3244753658,19251.9607863747,19592.8661324994,20906.3606652182,21931.7244501373
Europe & Central Asia (IDA & IBRD),6941.13287621367,7432.37373721228,8125.53010664906,9065.23856271963,10086.0758664887,11926.1641964156,13299.0091624548,15178.6265267408,14812.6993527701,15836.4233951006,17875.2731853222,18796.4524982575,19527.2834513719,20023.7848998829,19924.4573464851,20316.6872217202,21703.2746933281,22758.6641879978
European Union,23723.6992044385,24770.5745756429,25347.2344711495,26574.2048676365,27516.8098398175,29777.998651196,31556.6018849393,32994.8970220342,32204.1722914739,33281.7028900649,34802.0568611364,35359.9823078779,36575.6951677645,37604.6448564493,38767.0302020768,40276.3144276348,42598.799016465,43737.7380895989
Faroe Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fiji,5517.36059043661,5774.53023666351,5934.62453819738,6403.4019634625,6618.78484163568,6892.83669549767,6947.96198649698,7078.62736616802,6965.5389437375,7202.75836335839,7520.37365528929,7758.21876915102,8262.95731183168,8882.38836461415,9372.54233708342,9670.84100111229,10329.438792097,10879.4784622426
Finland,27807.3197803378,28605.1223159604,29019.3103958371,31173.3230804735,32051.7940038456,34419.380646761,37801.784534824,40083.6972699668,37980.0651571834,38953.3575952203,40916.8385790274,40873.0953326066,41493.1416470359,41757.4021894413,42535.475165346,44015.5299223421,46735.4107423245,48416.93602994
Fragile and conflict affected situations,2528.3316133301,2491.32012381486,2338.86001925714,2702.68147140548,2904.92980623929,3133.90693782123,3313.50931716583,3490.11549944331,3598.58103565335,3794.57848105526,3591.67758196678,4026.4026269537,4171.9629638498,4202.14510220848,4243.7891138213,4456.84933285496,4561.92674645481,4666.47581828596
France,27501.5424106098,28523.8857271382,28141.4613974335,29034.0007086989,30498.5792943609,32434.8602641227,34088.3600835306,35095.2629574491,34685.17379693,35900.0455682618,37440.6386298685,37679.1217798605,39523.8539542181,40141.585477622,40833.2420664584,42047.2872382377,44255.9416401023,45342.3957360832
French Polynesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gabon,14453.9672197091,14301.4324322433,14537.3885172341,14655.9453913057,15106.7781499186,14708.2337595245,15549.513219436,14863.5683793029,14514.7729871153,15190.4144124785,16011.1245045144,16536.5659575193,17116.3436462546,17548.2712911969,17819.5595910343,17839.8973012187,17762.4086445387,17875.7611482905
