Country Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,23.5228152802563,24.645147945536,25.7688870464189,26.8995728522227,28.0385769239566,29.1807950596847,30.411773922925,31.6546636107506,32.9096781726027,34.177027723266,35.4570999886872,36.7499624027606,38.0558319810101,39.3749320885894,40.7077070107199,42.0541827707493,43.4176100145511
Albania,89.0959982084727,89.8988596580289,90.6814152199513,91.4434873612271,92.1844992794815,92.9045726917553,93.6035087079281,94.2811487636543,94.9370722780768,95.5716999202353,96.1847704181257,96.7764332336587,97.3125483043076,97.6768549535362,97.6910339666252,97.7048765530935,97.7183683821447
Algeria,84.0721425099695,84.4007688339975,84.7162161679645,85.0186149397705,85.3078052066562,85.5842630446577,85.847854346242,86.0990176089512,86.3362023865121,86.5604296919394,86.7717408223521,86.9706485089717,87.1574535295076,87.3327341136295,87.4967167440158,87.5423164577779,87.5865709329942
American Samoa,64.8729088169453,64.8677129378213,64.8625170586972,64.8573211795732,64.8521253004492,64.8469294213251,64.8417335422011,64.836537663077,63.6822701188885,62.5281867583771,61.3742875815433,60.2205725883875,59.0670417789088,57.9136951531078,56.7605327109848,55.6075544525389,54.4547603777711
Andorra,99.9999971676266,99.9999959156836,100.000002606308,99.9999962475436,99.9999993953907,100.000004710026,99.9999976931792,99.9999977255833,100.000001129116,99.9999966121292,99.9999954451919,100.000001156937,100,99.9999975924307,100.00000244488,100,99.9999962826959
Angola,28.9892202098874,30.4224687291607,31.8560594848391,33.2903918742152,34.7226372190282,35.991281813309,37.259303234479,38.5275100366274,39.7942700259259,41.0607930612985,42.3266652444817,43.5914728138515,44.8547932791001,46.1170309780224,47.3744793353905,48.6279447858576,49.8769787577501
Antigua and Barbuda,82.8012294888333,83.1931505634651,83.585071638097,83.9769927127288,84.3689137873606,84.7608348619925,85.1527559366243,85.5446770112561,85.936598085888,86.3285191605197,86.7204402351516,87.1123613097834,87.5042823844152,87.5042823844152,87.5042823844152,87.5042823844152,87.5042823844152
Arab Mundo,73.8850969442877,74.1952296738185,74.6172114202324,75.0670526527644,75.7326333805026,76.4337681448279,77.1139317391037,77.8494575476503,78.5669380869987,79.2601002951649,79.9296209441006,80.5716564182019,81.206258728715,81.7822248605943,82.3500012220259,82.8417654257603,83.1122349963876
Argentina,87.5419323030329,88.1075832149053,88.6724996497374,89.2373021929672,89.8018034465242,90.3662073253866,90.9303440270357,91.4944038763587,92.0582086768405,92.6217791379891,93.1824993783585,93.7417481852165,94.1675570736228,94.2010482970055,94.2348507736493,94.2585054176821,NA
Armenia,87.2807027800428,87.6801344834894,88.0879578307792,88.4965003755754,88.9056033154716,89.3155819323634,89.7261176371164,90.1375293202039,90.5494965819057,90.9621777746264,91.3755731772587,91.7896816368386,92.208479764726,92.6320407524375,93.0606067851468,93.4069715588385,93.6423072695355
Aruba,98.2554825689824,98.1907551642114,98.1260277594405,98.0613003546696,97.9965729498986,97.9318455451277,97.8671181403568,97.8023907355859,97.7376633308149,97.672935926044,97.6082085212731,97.5434811165022,97.5434811165022,97.5434811165022,97.5434811165022,97.5434811165022,NA
Australia,99.9911523822512,99.9911523822512,99.9911523822512,99.9911523822512,99.9911523822512,99.9911523822512,99.9911523822512,99.9911523822512,99.9911523822512,99.9911523822512,99.9911523822512,99.9911523822512,99.9911523822512,99.9911523822512,99.9911523822512,99.9911523822512,99.9911523822512
Austria,99.999989054002,99.9999987403177,99.9983783752157,99.9965329956876,99.9947022815882,99.9928921593185,99.9911029009291,99.9893284448224,99.987571737567,99.9858330250449,99.9841121228219,99.9823112215371,99.9804576387726,99.9785889656659,99.9767087846052,99.9748135182502,99.9729096123263
Azerbaijan,64.7855254210116,66.3554907750351,67.9205939408289,69.4806470207399,71.6186382267174,73.7722442056835,75.9416677996183,78.1267086088922,80.3275750426174,82.5463325488715,84.7827446220276,87.0367194222409,89.3082884004391,90.9184365681072,92.4560650540911,92.4830948823569,92.5114453471259
Bahamas, The,88.1192100717408,88.6379844039754,89.1581503352292,89.6797078655026,90.2026569947952,90.7269977231071,91.2527300504385,91.7798539767891,92.3083695021592,92.8382766265486,93.3695753499573,93.9022656723855,94.2450378918434,94.5878101113014,94.9305823307593,94.9305823307593,94.9305823307593
Bahrain,99.8679202175221,99.8814401952561,99.8949601729901,99.908480150724,99.922000128458,99.9355201061919,99.9490400839259,99.9625600616598,99.9760800393938,99.9896000171277,100,100,100,100,100,100,100
Bangladesh,26.9742542910608,28.3334756706572,29.6881276791102,31.0377748313427,32.412221409107,33.7831641706071,35.149196179516,36.5089431799366,37.8610512436861,39.2046130132118,40.538099188074,41.8597414785269,43.1681510831289,44.4627029692762,45.7421610879166,47.0058028392138,48.2332427177019
Barbados,89.3536190555618,89.8537478913859,90.35387672721,90.8540055630342,91.3541343988583,91.8542632346825,92.3543920705066,92.8545209063307,93.3546497421548,93.854778577979,94.3549074138031,94.8550362496273,95.3551650854515,95.8552939212757,96.3554227570998,96.855551592924,97.2793784985907
Belarus,91.6436202812547,91.6138535785813,91.5843988803145,92.1099801334363,92.6427863842847,93.1827199172257,93.7296754069221,94.2835204276443,94.8442374766767,95.4109795671211,95.9850888293028,96.5668357378464,97.1560728848175,97.7526376167495,97.7649765159934,97.7777512941361,97.7909519750284
Belgium,99.4836738025257,99.4840436142335,99.4844201473851,99.4847830158582,99.4851600970339,99.4855276542864,99.485901788448,99.4860798776,99.4860789823421,99.4860712773164,99.4860703905843,99.4860649540609,99.4860675734247,99.486064028335,99.4860616896739,99.4860576241743,99.486060200783
