Type,"Country Code","Series Code","Description"
Country-Series,"Greece (GRC)","Population, total (SP.POP.TOTL)","Data source: Eurostat"
Country-Series,"Guatemala (GTM)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Guyana (GUY)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Honduras (HND)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Croatia (HRV)","Population, total (SP.POP.TOTL)","Data source: Croatian Bureau of Statistics, Eurostat"
Country-Series,"Haiti (HTI)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Hungary (HUN)","Population, total (SP.POP.TOTL)","Data source: Eurostat"
Country-Series,"Indonesia (IDN)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"India (IND)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Ireland (IRL)","Population, total (SP.POP.TOTL)","Data source: Eurostat"
Country-Series,"Iran, Islamic Rep. (IRN)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Iraq (IRQ)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Iceland (ISL)","Population, total (SP.POP.TOTL)","Data source: Eurostat"
Country-Series,"Israel (ISR)","Population, total (SP.POP.TOTL)","Data source: Central Bureau of Statistics"
Country-Series,"Italy (ITA)","Population, total (SP.POP.TOTL)","Data source: Eurostat"
Country-Series,"Jamaica (JAM)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Jordan (JOR)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Japan (JPN)","Population, total (SP.POP.TOTL)","Data source: Ministry of Internal Affairs and Communications, Statistics Bureau; United Nations Population and Vital Statistics Report"
Country-Series,"Kazakhstan (KAZ)","Population, total (SP.POP.TOTL)","Data source: Statistical Agency of Kazakhstan, 1979 Census, 1989 Census, United Nations World Population Prospects"
Country-Series,"Kenya (KEN)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Kyrgyz Republic (KGZ)","Population, total (SP.POP.TOTL)","Data source: National Statistical Committee"
Country-Series,"Cambodia (KHM)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Kiribati (KIR)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Korea, Rep. (KOR)","Population, total (SP.POP.TOTL)","Data source: Korean Statistical Information Service"
Country-Series,"Lao PDR (LAO)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Lebanon (LBN)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Liberia (LBR)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"St. Lucia (LCA)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Sri Lanka (LKA)","Population, total (SP.POP.TOTL)","Data source: Department of Census and Statistics Sri Lanka, United Nations World Population Prospects"
Country-Series,"Lesotho (LSO)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Lithuania (LTU)","Population, total (SP.POP.TOTL)","Data source: Eurostat"
Country-Series,"Luxembourg (LUX)","Population, total (SP.POP.TOTL)","Data source: Eurostat"
Country-Series,"Latvia (LVA)","Population, total (SP.POP.TOTL)","Data source: Eurostat"
Country-Series,"Morocco (MAR)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Moldova (MDA)","Population, total (SP.POP.TOTL)","Data source: National Bureau of Statistics. Excluding Transnistria. For 1950-94, World Bank estimates using UN World Population Prospects' growth rates of whole Moldova."
Country-Series,"Madagascar (MDG)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Maldives (MDV)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Mexico (MEX)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"North Macedonia (MKD)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Mali (MLI)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Malta (MLT)","Population, total (SP.POP.TOTL)","Data source: Eurostat"
Country-Series,"Myanmar (MMR)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Montenegro (MNE)","Population, total (SP.POP.TOTL)","Data source: For years after 2000, Statistical Office of Montenegro. For years 1960-1999, growth rates of United Nations World Population Prospects were used to estimate backwards."
Country-Series,"Mongolia (MNG)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Mozambique (MOZ)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Mauritania (MRT)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Mauritius (MUS)","Population, total (SP.POP.TOTL)","Data source: Statistics Mauritius, United Nations World Population Prospects"
Country-Series,"Malawi (MWI)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Malaysia (MYS)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Namibia (NAM)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Niger (NER)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Nigeria (NGA)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Nicaragua (NIC)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Netherlands (NLD)","Population, total (SP.POP.TOTL)","Data source: Eurostat"
Country-Series,"Norway (NOR)","Population, total (SP.POP.TOTL)","Data source: Eurostat"
Country-Series,"Nepal (NPL)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Pakistan (PAK)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Panama (PAN)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Peru (PER)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Philippines (PHL)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Palau (PLW)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Papua New Guinea (PNG)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Poland (POL)","Population, total (SP.POP.TOTL)","Data source: Eurostat"
Country-Series,"Portugal (PRT)","Population, total (SP.POP.TOTL)","Data source: Eurostat"
Country-Series,"Paraguay (PRY)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"West Bank and Gaza (PSE)","Population, total (SP.POP.TOTL)","Data source: World Bank estimates based on data from Palestinian Central Bureau of Statistics, excluding E. Jerusalem."
Country-Series,"Romania (ROU)","Population, total (SP.POP.TOTL)","Data source: Eurostat"
Country-Series,"Russian Federation (RUS)","Population, total (SP.POP.TOTL)","Data source: Russian Federation Federal State Statistics Service (its January 1st populations were adjusted to mid-year populations by using geometric mean), 1979 Census, 1989 Census."
Country-Series,"Rwanda (RWA)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Sudan (SDN)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects. Estimates are for Sudan excluding South Sudan."
Country-Series,"Senegal (SEN)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
Country-Series,"Solomon Islands (SLB)","Population, total (SP.POP.TOTL)","Data source: United Nations World Population Prospects"
